Name,Birthdate,Deathdate,Notes,Sex,Viaf_id,Birthplace,Deathplace,Occupation
Carlos Soldevila,1892-03-26,1905-05-20,,Male,62674007,"Barcelona, Spain",,"Writer, Poet, Journalist, Dramatist"
Gabriel Alomar,1905-02-15,1905-04-24,,Male,72844503,"Palma de Majorca, Spain","Cairo, Egypt","Poet, Essayist, Educator, Diplomat, Writer"
James Donald Adams,1891-09-24,1968-08-23,NY Times Book Review editor,Male,67708961,"New York City, New York",,"Editor, Author, Literary Critic, Journalist"
Elvine Georglevna Simeon (Adams),,,Wife of James Donald Adams,Female,,"Petrograd (Leningrad), Russia",,Writer
Harriete Monroe,1860-12-23,1936-09-26,,Female,,"Chicago, Illinois","Arequipa, Peru","Editor, Scholar, Literary Critic, Poet, Patron"
Johannes Semper,1892-03-22,1970-02-21,,Male,86378,"Paris, France","Tallinn, Estonia","Poet, Writer, Translator, Politician"
Hans Ruin,1891-06-18,1980-11-03,,Male,55208341,"Helsinki, Finland","Stockholm, Sweden","Philosopher, Writer"
Jules Romains,1885-08-26,1972-08-14,,Male,37053052,Saint-Julien-Chapteuil,"Paris, France","Poet, Writer"
Benjamin Crémieux,1888-12-01,1944-04-14,,Male,66619225,"Narbonne, France","Weimar, Germany","Writer, Author"
Georges Duhamel,1884-06-30,1966-04-13,,Male,66466573,"Paris, France","Valmondois, France","Author, Doctor"
Blanche Albane (Mme. Georges Duhamel) ,1886-10-14,1975-05-04,,Female,56620305,"Paris, France","Hérouville, France",Actress
Mme. Raissa Maritain,1883-09-12,1960-11-04,,Female,39380883,"Rostov-on-Don, Russia","Paris, France","Poet, Philosopher"
Mme. Jules Supervielle (Pilar Saavedra),1884-01-16,1905-05-29,,Female,,"Montevideo, Uruguay","Paris, France",Writer
Jean Giraudoux,1882-10-29,1944-01-31,,Male,2470938,"Bellac, France","Paris, France","Novelist, Essayist, Diplomat, Playwright"
Dominique Braga,1892-05-13,1975-04-15,,Male,61258264,"Paris, France","Sevran, France","Journalist, Writer, Literary Critic"
Mme. Dominique Braga,,,,Female,,,,Writer
Emil Ludwig,1881-01-25,1948-09-17,,Male,44454588,"Wroclaw, Poland","Ascona, Switzerland","Author, Biographer"
Elga Wolff (Mme. Emil Ludwig),1905-02-26,1905-05-24,,Female,,,,Writer
N. A. Donkersloot (Anthonie Donker),1902-09-08,1965-12-26,,Male,36025931,"Rotterdam, Netherlands","Amsterdam, Netherlands","Professor, Writer, Essayist, Poet, Translator"
Antoine Radé,,,,Male,,,,Writer
Sophía Wadia,1901-09-13,1986-04-27,Founder of PEN All India Centre,Female,93641903,Colombia,,"Theosophist, Director, Editor"
Kalidas Nag,1905-03-06,1905-05-19,,Male,36987024,,,"Historian, Author, Parliamentarian, Professor"
Hermon Ould,1885-12-14,1951-09-21,,Male,25373252,"London, United Kingdom","London, United Kingdom","Poet, Journalist, Playwright"
Beatrice Kean Seymour,1886-09-01,1955-10-31,,Female,62586312,"Clapham, London, United Kingdom",,"Novelist, Short Story Writer"
R. H. Mottram,1883-10-30,1905-05-24,,Male,111564164,"Norwich, United Kingdom","King's Lynn, United Kingdom","Writer, Novelist, Poet"
Mrs. Rowan Hamilton,,,,Female,,,,Writer
Rowan Hamilton,,,,Male,,,,Writer
Majid Khadduri,1909-09-27,2007-01-25,,Male,73862922,"Mosul, Iraq","Potomac, Maryland",Academic
Seamus MacCall,1905-03-06,1964-10-29,,Male,114012712,,"Tower Hill, Dalkey, Co. Dublin","Novelist, Broadcaster, Soldier"
Halldór Kilian Laxness,1902-04-23,1998-02-08,,Male,17225412,"Reykjavik, Iceland","Reykjavik, Iceland","Writer, Poet, Journalist, Playwright, Short Story Writer, Novelist"
Filippo Tommaso Marinetti,1876-12-22,1944-12-02,Founder of the Futurist Movement,Male,4933263,"Alexandria, Egypt","Bellagio, Lombardy, Italy","Poet, Editor, Art Theorist"
Benedetta Marinetti (née Cappa),1897-08-14,1977-05-15,,Female,232907944,"Rome, Italy","Venice, Italy",Artist
Enzo Ferrieri,1905-03-04,1905-05-22,,Male,97811388,"Milan, Italy","Milan, Italy","Publisher, Artistic Director"
Giuseppe Ungaretti,1888-02-08,1970-06-01,,Male,89710987,"Alexandria, Egypt","Milan, Italy","Poet, Journalist, Essayist, Critic, Academic"
Mario Puccini,1887-07-29,1957-12-05,,Male,59215391,"Senigallia, Italy","Rome, Italy",Writer
Toson Shimazaki (Shimazaki Haruki),1872-03-25,1943-08-22,,Male,2480937,"Nakatsugawa, Japan","Tokyo, Japan",Author
Ikuma Arishima (Arishima Mibuma),1882-11-26,1974-09-15,,Male,96588579,"Yokohama, Japan","Kamakura, Japan","Novelist, Painter"
Janis Karklins,1891-01-06,1975-07-20,,Male,50033063,Russia,"Stockholm, Sweden","Journalist, Writer, Poet, Literary Critic"
Charles Kent,1880-09-04,1938-02-27,,Male,12211572,"Oslo, Norway","Oslo, Norway","Writer, Editor, Literary Critic"
Johannes C. Andersen,1873-03-14,1962-06-19,,Male,54246837,"Hedensted, Denmark","Mount Albert, New Zealand","Poet, Clerk, Ethnologist, Librarian, Editor, Historian"
Mrs. Johannes C. Andersen,,,,Female,,,,Writer
Saúl Tchernichowsky,1875-08-20,1943-10-14,,Male,12420180,"Mykhailivka Raion, Ukraine","Jerusalem, Israel",Poet
Jan Parandowski,1895-05-11,1978-09-26,,Male,9851531,"Lviv, Ukraine","Warsaw, Poland","Writer, Essayist, Translator"
Fidelino de Figueiredo,1889-07-20,1967-03-20,,Male,46167,"Lisbon, Portugal","Lisbon, Portugal","Politician, Professor, Hispanist, Historian, Literary Critic"
Chiriachitza Athanassio-Bénisty,1885-02-18,1905-04-21,,Female,204848407,France,France,Neuroscientist
Carl August Bolander,1888-06-20,1905-05-22,Sweden,Male,73824275,,,"Writer, Journalist, Literary Critic"
Mme. Carl August Bolander,,,Sweden,Female,,,,Writer
Emmanuel Stickelberger,1884-03-13,1962-01-16,,Male,112500342,"Alassio, Italy","St. Gallen, Switzerland","Entrepreneur, Writer"
Carlos Reyles,1868-10-30,1938-07-24,,Male,54163995,"Montevideo, Uruguay","Montevideo, Uruguay",Essayist
Paul Golia,,,Yugoslavia,,,,,Writer
Branimir Livadie,,,Yugoslavia,,,,,Writer
Vladeta Popvie,1905-03-08,1905-05-04,Serbian,Male,,,,Writer
H. Leivick (Leivick Halpern),1888-12-25,1962-12-23,,Male,47562232,"Chervyen, Belarus",,"Writer, Playwright"
Pierre Hourcade,1908-08-06,1983-02-03,,Male,59204688,"Chalons-en-Champagne, France","Aix-en-Provence, France","Translator, Writer, Scholar, Linguist"
Leonardo Castellani,1899-11-16,1981-03-15,,Male,25850489,"Reconquista, Argentina","Buenos Aires, Argentina","Priest, Essayist, Novelist, Poet, Theologian"
Michel Berveiller,1910-07-16,1905-05-27,French,Male,71387394,"Sommedieue, France",,"Author, Translator, Editor"
Arnaud Dandieu,1897-11-29,1933-08-06,French,Male,68967957,,,Writer
Maximilian Beck,1905-03-01,1905-05-03,German writer who emigrated to the united states in 1933,Male,116881824,,,"Philosopher, Writer"
Emile Gouiran,1905-03-23,1905-05-08,,Male,162567261,,,Writer
Julien Benda,1867-12-26,1956-06-07,,Male,13100935,"Paris, France","Fontenay-aux-Roses, France","Philosopher, Novelist"
Ricardo de los Heros,,,Designed many of the covers for books for the Editorial Sur in the 1960s,Male,,,,"Designer, Graphic Artist"
Luis Mercier Vega,1914-05-06,1977-11-20,,Male,71394972,"Brussels, Belgium","Collioure, France","Libertarian, Syndicalist"
François Bourricaud,1922-12-28,1991-11-08,,Male,46757889,"Saint-Martin-du-Bois, France","Paris, France",Sociologist
Ana Gándara,,1905-06-21,http://www.lanacion.com.ar/139801-ana-gandara,Female,75347052,,,"Author, Poet"
Max Scheler,1874-08-22,1928-05-19,,Male,41846336,"Munich, Germany","Frankfurt, Germany",Philosopher
Karl Jaspers,1883-02-23,1969-02-26,,Male,31998030,"Oldenburg, Germany","Basel, Switzerland","Psychiatrist, Philosopher"
Elémire Zolla,1925-06-09,2002-05-29,Historian of Religion,Male,14778401,"Turin, Italy","Montepulciano, Italy","Essayist, Philosopher, Historian"
Edwin Lieuwen,1923-02-08,1988-05-25,,Male,57858893,"Harrison, South Dakota","Albuquerque, New Mexico","Historian, Professor, Author"
Romano Guardini,1885-02-17,1968-10-01,,Male,24602326,"Verona, Italy","Munich, Germany","Priest, Author, Academic"
Max Muller,1823-12-06,1900-10-28,,Male,9893606,"Dessau, Germany","Oxford, United Kingdom","Philologist, Orientalist"
H. A. Murena (Héctor Alberto Álvarez),1923-02-14,1975-05-06,,Male,79187428,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Poet"
Friedrich Durrenmatt,1921-01-05,1990-12-14,,Male,64004790,"Konolfingen, Switzerland","Neuchâtel, Switzerland","Author, Dramatist"
Albert Schweitzer,1875-01-14,1965-09-04,,Male,17367,"Kayserberg, Germany","Lambaréné, Gabon","Theologian, Organist, Writer, Humanitarian, Philosopher, Physician"
Domingo F. Sarmiento,1811-02-15,1888-09-11,,Male,12340366,"San Juan, Puerto Rico","Asunción, Paraguay","Activist, Intellectual, Writer, Statesman, President"
Alejandra Pizarnik,1936-04-29,1972-09-25,,Female,17233961,"Avellaneda, Argentina","Buenos Aires, Argentina",Poet
Estanislao del Campo,1834-02-07,1880-11-06,,Male,25492491,"Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Victoria Kent,1891-03-06,1987-09-25,,Female,79126049,"Málaga, Spain","New York City, New York","Lawyer, Politician, Writer, Editor"
Joaquín O. Giannuzzi,1924-07-29,2004-01-26,,Male,213139967,"Buenos Aires, Argentina","Campo Quijano, Argentina","Writer, Poet, Journalist"
Alberto Mario Salas,1905-03-29,1995-02-18,,Male,67791729,"Buenos Aires, Argentina","Buenos Aires, Argentina","Professor, Historian, Writer, Archaeologist"
Julia Elena Acuña,,,,Female,60648080,Santo Tomé,,"Professor, Historian"
Jorge Andrés Paita,1905-04-14,2012-10-27,,Male,,"Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Tulio Halperín Donghi,1926-10-27,2014-11-14,,Male,19698846,"Buenos Aires, Argentina","Berkeley, California",Historian
Lorenzo Dagnino Pastore,1905-03-09,1905-06-15,,Male,310586158,"Buenos Aires, Argentina",Argentina,"Economist, Accountant"
Carlos Sánchez Viamonte,1892-06-16,1972-07-02,,Male,24163823,"La Plata, Argentina","La Plata, Argentina",Jurist
Carlos S. Fayt,1918-02-01,2016-11-22,Member of the Supreme Court of Justice of Argentina,Male,77720426,"Salto, Argentina","Buenos Aires, Argentina","Lawyer, Politician, Academic, Supreme Court Justice"
Alfredo Orgaz,1900-11-06,1984-08-11,,Male,239058696,"Córdoba, Argentina","Córdoba, Argentina","Jurist, Supreme Court Minister"
Roberto Cortéz Conde,1932-02-05,,,Male,,"Buenos Aires, Argentina",,"Lawyer, Journalist"
Sebastián Marotta,1888-06-12,1970-01-11,Cofounded the Federación Argentina de Trabajadores de la Imprenta,Male,21346107,"Buenos Aires, Argentina","Buenos Aires, Argentina","Linotypist, Syndicalist"
Horacio Sueldo,1923-07-13,2016-05-10,,Male,33483939,"Villa del Rosario, Argentina","Buenos Aires, Argentina","Lawyer, Journalist, Politician"
Leandro Pita Moreno,1898-11-22,1985-06-25,,Male,,"Ortigueira, Spain","Buenos Aires, Argentina","Politician, Diplomat, Journalist, Writer"
Alfredo Martínez de Hoz,1925-08-13,2013-03-16,,Male,2530415,"Buenos Aires, Argentina","Buenos Aires, Argentina","Policy Maker, Minister of Economy"
Abraham Eidlicz,1905-04-05,,"Investigator (Economics, Energy)",Male,,"Buenos Aires, Argentina",,"Engineer, Investigator"
José A. Blanco,1898-10-04,,President of the Industrial Argentine Union,Male,,"Buenos Aires, Argentina",,President
Leopoldo Fortnoy,1918-08-13,1995-05-30,,Male,,"Buenos Aires, Argentina",,"Accountant, Economist"
Walter Beveraggi Allende,1920-12-01,1993-04-01,,Male,38229548,"Buenos Aires, Argentina","Buenos Aires, Argentina","Politician, Lawyer, Economist, Professor"
Carlos Alberto Floria,1905-04-12,1905-07-04,,Male,73898195,"Buenos Aires, Argentina",,Professor
Carlos Cossio,1903-02-03,1987-08-24,"University Reformer, Lawyer, Philosopher, Teacher",Male,93230574,San Miguel de Tucumán,"Buenos Aires, Argentina","Jurist, Lawyer, Philosopher, University Reformer, Professor"
Aníbal Ruiz Moreno,1905-03-21,1905-05-13,,Male,,"Córdoba, Argentina","Buenos Aires, Argentina","Professor, Physician"
Nélida Baigorria,1921-06-23,2016-11-19,,Female,63571093,"Buenos Aires, Argentina","Buenos Aires, Argentina",Professor
Ludovico Ivanissevich Machado,1927-08-13,,,Male,,"Buenos Aires, Argentina",,Engineer
Carlos A. Méndez Mosquera,1929-12-13,2009-10-03,http://www.lanacion.com.ar/1185911-fallecio-carlos-a-mendez-mosquera,Male,120391113,"Buenos Aires, Argentina","Buenos Aires, Argentina","Designer, Professor, Architect, Editorial Director"
José Enrique Miguens,1905-04-01,2011-11-08,,Male,93667808,"Buenos Aires, Argentina","Buenos Aires, Argentina","Lawyer, Sociologist"
Alberto J. Aguirre,1912-04-02,,,Male,,"Buenos Aires, Argentina",,Radio Host
C. A. Burone,1924-08-02,,,Male,,"Buenos Aires, Argentina",,Film Critic
Félix Daniel Frascara,1907-02-19,1962-02-26,,Male,,"Buenos Aires, Argentina","Buenos Aires, Argentina","Journalist, Writer"
Joaquín Neyra,1912-07-15,,,Male,291122999,"La Rioja, Spain",,"Journalist, Editor"
Hugo Parpagnoli,1905-03-29,,Collaborator with SUR,Male,,"Buenos Aires, Argentina",,"Professor, Art Critic, Collaborator"
Jorge Cruz,1930-09-30,,http://www.aal.edu.ar/?q=node/143,Male,60972170,"Buenos Aires, Argentina",,"Professor, Writer"
Jorge D'Urbano,1905-03-31,1988-09-28,,Male,32124015,"Buenos Aires, Argentina","Buenos Aires, Argentina",Musicologist
"Joaquín Andúriz, S. J. ",1920-12-14,,,Male,,"Buenos Aires, Argentina",,"Professor, Philosopher"
Emilio Carreira ,1907-05-21,,,Male,86791046,"Buenos Aires, Argentina",,"Politician, Lawyer"
Emmanuel Mounier,1904-05-01,1950-03-22,,Male,27128518,"Grenoble, France","Châtenay-Malabry, France",Philosopher
Thomas Mann,1875-06-06,1955-08-12,,Male,54151065,Free City of Lübeck,"Zürich, Switzerland","Novelist, Short Story Writer, Essayist"
Giuseppe Faggin,1906-10-20,1995-09-23,,Male,66550126,"Isola Vicentina, Italy",,"Philosopher, Historian"
Víctor Alba,1905-03-30,2003-03-10,,Male,108893961,"Barcelona, Spain","Sant Pere de Ribes, Spain","Politician, Journalist, Writer, Professor"
Arturo Aldunate Phillips,1902-02-09,1985-07-24,,Male,16124358,"Santiago, Chile","Santiago, Chile","Poet, Civil Engineer, Mathematician, Investigator"
Raymond Aron,1905-03-14,1983-10-17,,Male,51685009,"Paris, France","Paris, France","Philosopher, Sociologist, Journalist, Political Scientist"
Círo Alegría,1909-11-04,1967-02-17,,Male,12321079,"La Libertad, Peru","Chaclacayo, Lima, Peru","Journalist, Politician, Novelist"
Damián Carlos Bayón,1915-10-28,1995-02-12,,Male,76311854,"Buenos Aires, Argentina","Paris, France","Historian, Writer, Art Critic, Professor, Curator"
Jorge Carrera Andrade,1903-03-18,1978-11-07,,Male,44870683,"Quito, Ecuador","Quito, Ecuador","Poet, Historian, Author, Diplomat"
Oscar Delgado,,,"Professor at the Universidad de Rosario (Bogotá, Colombia)",Male,45639614,,,"Sociologist, Author"
Jorge Guillén,1893-01-18,1984-02-06,,Male,91629318,"Valladolid, Spain","Málaga, Spain","Poet, Professor, Literary Critic"
Jorge Icaza,1906-06-10,1978-05-26,,Male,39417291,"Quito, Ecuador","Quito, Ecuador",Writer
Juana de Ibarbourou,1892-03-08,1979-07-15,,Female,100257812,"Melo, Uruguay","Montevideo, Uruguay",Poet
Juan Ramón Jiménez,1881-12-24,1958-05-29,,Male,59077345,"Moguer, Spain","San Juan, Puerto Rico","Poet, Writer"
Arthur Koestler,1905-09-05,1983-03-01,,Male,59084510,"Budapest, Hungary","London, United Kingdom","Author, Journalist"
Pedro Laín Entralgo,1908-02-15,2001-06-05,Medical Researcher,Male,108328947,"Urrea de Gaén, Spain","Madrid, Spain","Researcher, Doctor, Historian, Essayist, Philosopher"
Juan Liscano,1915-07-07,2001-02-17,,Male,109503920,"Caracas, Venezuela","Caracas, Venezuela","Poet, Folklorist, Writer, Critic"
Luis Monguió,1908-06-25,2005-07-10,,Male,14257798,"Tarragona, Spain","Clifton Park, New York",Professor
A. Pareja Diezcanseco,1908-10-12,1993-05-01,,Male,79061805,"Guayaquil, Ecuador","Quito, Ecuador","Novelist, Essayist, Journalist, Historian, Diplomat"
Mario Pedrosa,1900-04-25,1981-11-05,,Male,40434793,"Pernambuco, Brazil","Rio de Janeiro, Brazil",Politician
Mariano Picón Salas,1901-01-26,1965-01-01,,Male,71408028,"Mérida, Venezuela","Caracas, Venezuela","Diplomat, Critic, Writer"
Raúl Prebisch,1901-04-17,1986-04-29,,Male,34543132,"San Miguel de Tucumán, Argentina","Santiago, Chile",Economist
E. L. Revol,1923-04-03,1905-06-10,,Male,61148639,"Córdoba, Argentina",,"Writer, Professor, Translator"
Augusto Roa Bastos,1917-06-13,2005-04-26,,Male,44304512,"Asunción, Paraguay","Asunción, Paraguay","Novelist, Short Story Writer"
Luis Alberto Sánchez,1900-10-12,1994-02-06,,Male,108970947,"Lima, Peru","Lima, Peru","Lawyer, Jurist, Philosopher, Historian, Writer, Politician"
Arturo Serrano Plaja,1909-05-05,1979-06-16,,Male,29552167,"San Lorenzo de El Escorial, Spain","Santa Barbara, California","Writer, Poet"
Ignazo Silone,1900-05-01,1978-08-22,,Male,,"Pescina, Italy","Geneva, Switzerland","Author, Politician"
Agustín Yañez,1904-05-04,1980-01-17,,Male,112551221,"Guadalajara, Mexico","Mexico City, Mexico","Writer, Politician"
George Bernard Shaw,1856-07-26,1950-11-02,,Male,89019752,"Dublin, Ireland","Ayot St Lawrence, United Kingdom","Playwright, Critic, Polemicist"
Ivy Herczegh Konjovich,,,Hungarian; played many concerts in Buenos Aires and Serbia,Female,,"Budapest, Hungary",,"Violinist, Critic"
Alfonso Cravioto,1884-01-24,1955-09-11,,Male,72798864,"Pachuca, Mexico","Mexico City, Mexico","Poet, Politician, Diplomat"
Maria Rosa Lida de Malkiel,1910-11-07,1962-09-25,Medievalist,Female,29619575,"Buenos Aires, Argentina","Oakland, California","Philologist, Professor, Writer, Hispanist"
Ramón Fernández,1894-03-18,1944-08-03,,Male,39376886,"Paris, France","Paris, France","Writer, Literary Critic, Journalist"
María de Villarino,1905-03-19,1994-06-06,,Female,93837235,"Chivilcoy, Argentina","Buenos Aires, Argentina","Writer, Poet"
Tomás Garcés,1901-10-09,1993-12-16,,Male,68951895,Spain,"Barcelona, Spain",Poet
Michel Leiris,1905-03-15,1990-09-30,,Male,219192187,"Paris, France","Saint-Hilaire, France","Writer, Ethnographer"
Miguel Pérez Ferrero,1905-03-19,1978-05-01,,Male,23711569,"Madrid, Spain","Madrid, Spain","Writer, Biographer, Critic, Journalist"
Silvio Zavala,1909-02-07,2014-12-05,,Male,110707848,"Mérida, Mexico","Mexico City, Mexico","Historian, Diplomat, Erudite"
Maruja Mallo,1902-01-05,1995-02-06,,Female,86916506,"Viveiro, Spain","Madrid, Spain",Painter
Roger Pla,1912-10-08,1982-06-28,,Male,21192731,"Rosario, Argentina","Buenos Aires, Argentina","Writer, Art Critic"
Alfredo Cahn,1905-03-16,1905-05-28,,Male,72405782,"Zurich, Switzerland","Buenos Aires, Argentina","Translator, Literary Agent, Professor"
Estuardo Núñez,1908-09-05,2013-08-29,,Male,102323214,"Chorrillos, Lima, Peru","Lima, Peru","Writer, Literary Critic, Historian, Professor"
Concha Méndez,1898-07-27,1986-12-07,,Female,9863418,"Madrid, Spain","Coyoacán, Mexico","Poet, Dramatist"
Luis Felipe Rodríguez,1888-07-30,1947-08-05,,Male,66490627,Cuba,Cuba,Writer
Alfredo R. Bufano,1895-08-21,1950-10-31,,Male,3861448,"Apulia, Italy","San Rafael, Argentina",Poet
Joao Cabral Do Nacimiento,1897-03-22,1978-03-02,,Male,,"Funchal, Portugal","Lisbon, Portugal",Writer
Vicente Gerbasi,1913-06-02,1992-12-28,,Male,97841773,"Canoabo, Venezuela","Caracas, Venezuela",Poet
Mayor Alberto Da Rocha,1896-07-26,,,Male,,"Buenos Aires, Argentina",,"Writer, Journalist"
Berta Elena Vidal de Battini,1900-07-10,1984-05-19,,Female,112027220,"San Luis, Argentina","San Luis, Argentina","Writer, Author"
Mario Setle,,,,,,,,Writer
Laura Cortinas,1905-02-23,1969-05-05,,Female,204151368,"San José de Mayo, Uruguay","Montevideo, Uruguay","Writer, Politician, Feminist"
Uldarica Maños,,,,,,,,Writer
María Esther Bruno de Barros,,,,Female,,,,Writer
Jaime Luis Pous Moroques,,,,,,,,Writer
Romualdo Brugetti (sic) - Brughetti,1912-02-07,2003-03-04,,Male,7463248,"La Plata, Argentina","Buenos Aires, Argentina","Art Critic, Art Historian, Essayist, Poet, Professor"
Demetrio Loza (Antonio Gómez Robledo),1908-11-07,1994-10-13,,Male,115438298,"Guadalajara, Mexico","Mexico City, Mexico","Writer, Diplomat, Philosopher"
Mauricio Gómez Mayorga,1905-03-27,1905-06-14,,Male,242632817,,,"Architect, Writer, Art Critic"
Mary Rega Molina,1905-03-13,1905-05-10,,Female,,"San Nicolás de los Arroyos, Argentina","Buenos Aires, Argentina","Writer, Teacher, Journalist, Literary Critic, Essayist, Dramatist, Poet"
Juan Francisco Ashero,,,,Male,,,,Writer
Adriano G. Carmona Romay,1905-03-19,,,Male,18710741,,,Writer
Ricardo Delgado,,,,Male,,,,Writer
Emma R. Mosto,,,,Female,,,,Writer
José María Chacón y Calvo,1892-10-28,1969-11-07,,Male,17241599,"Santa María del Rosario, Cuba","Vedado, Havana, Cuba","Erudite, Bibliophile, Historian, Essayist, Critic, Journalist, Professor, Diplomat"
José Manuel Cortina,1880-02-03,1970-03-09,,Male,26771446,"Pinar del Río, Cuba","Miami, Florida","Politician, Lawyer, Journalist"
Manuel Pedro González,1893-11-26,1974-07-01,,Male,109936702,"Islas Canarias, Spain","Del Mar, California","Literary Journal Director, Professor"
José Antonio Fernández de Castro,1887-01-18,1951-07-31,,Male,246589780,"Havana, Cuba","Havana, Cuba","Journalist, Writer"
Rafael Azcárate y Rosell,,,member of the national commission of archaeology,Male,39537146,Cuba,Cuba,Writer
Francisco González del Valle,1881-12-06,1942-12-18,,Male,24452762,"Havana, Cuba","Havana, Cuba","Lawyer, Professor, Intellectual"
Emilio Oribe,1905-03-07,1905-05-28,,Male,79403413,"Melo, Uruguay","Montevideo, Uruguay","Poet, Essayist, Professor, Doctor"
Joseph de Maistre,1753-04-01,1821-02-26,,Male,46764421,Savoy,"Turin, Italy","Philosopher, Writer, Lawyer, Diplomat"
Carlos Mastronardi,1905-03-15,1976-06-05,,Male,44320563,"Gualeguay, Argentina","Buenos Aires, Argentina","Journalist, Poet, Translator"
F. Mauriac,1885-10-11,1970-09-01,,Male,9850407,"Bordeaux, France","Paris, France","Novelist, Dramatist, Critic, Poet, Journalist"
Víctor Guardia Quirós,1873-09-16,1959-11-02,,Male,,"San José, Costa Rica","San José, Costa Rica","Lawyer, Writer"
Eduardo Acevedo Díaz,1851-04-20,1921-06-18,,Male,24614248,"Montevideo, Uruguay","Buenos Aires, Argentina","Writer, Politician, Journalist"
B. González Arrili,1892-10-18,1987-06-30,,Male,76329620,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Historian, Professor, Journalist"
José Martínez Orozco,1905-02-24,1905-05-02,,Male,43501449,,,Writer
Buenaventura Noé Vita,1884-06-22,1954-06-20,,Male,,"Buenos Aires, Argentina",,Historian
Juan R. Angueira,,,Secretary of the Municipal Government of Lobos,Male,,,,"Writer, Secretary of the Municipal Government"
Hortensia Margarita Raffo,,1982-01-06,,Female,124575250,"Gualeguaychú, Argentina",,Poet
José Nucete Sardi,1897-08-04,1972-11-12,,Male,74971714,"Mérida, Venezuela","Caracas, Venezuela","Historian, Journalist, Diplomat"
Marcelo Menasché ,1905-03-25,1905-05-13,,Male,56331172,,,Writer
Félix Lizaso,1905-03-05,1967-01-09,,Male,1589960,"Pipián, Havana, Cuba",Rhode Island,"Essayist, Journalist, Compiler, Historian"
Delfina Varela Domínguez de Ghioldi,1895-01-29,,,Female,170677081,"San Pablo, Argentina",,"Writer, Professor"
Juan Lazarte,1891-03-21,1963-07-19,,Male,14482230,"Rosario, Argentina","San Genaro, Argentina","Professor, Anarquist, Essayist, Writer, Doctor"
Gerardo Gallegos,1905-12-14,1905-06-08,,Male ,66348290,"Riobamba, Ecuador","Miami, United States","Writer, Novelist, Journalist"
Juan Vicens de la Llave,1895-08-26,1905-05-12,,Male,28841999,"Zaragoza, Spain",Mexico,Librarian
Clarence Finlayson,1913-02-23,1954-09-15,,Male,11489645,"Valparaíso, Chile","Santiago, Chile","Philosopher, Writer"
José Martínez Jerez,,,,,23822057,,,Writer
Jorge Pedro Fumiére,1894-07-09,1977-11-11,,Male,33945129,"Buenos Aires, Argentina","Campana, Buenos Aires, Argentina","Historian, Writer"
Cornelio Hispano (Ismael López),1880-11-01,1962-03-04,,Male,114969417,"Buga, Colombia","Bogotá, Colombia","Poet, Historian, Literary Critic"
José María Restrepo Millán,1894-10-14,1955-06-18,,Male,34034715,"Bogotá, Colombia","Bogotá, Colombia","Philologist, Humanist, Professor"
Raquel Santángelo,,,,,,,,Writer
Evar Méndez,1885-11-14,1955-12-22,He wrote a letter to VO in 1927 about publishing her work as part of the _Cuadernos del Plata_ series with the Editorial Proa (he also mentions an earlier letter she wrote him); cited in CG & MG's new book on Méndez,Male,308179039,"Mendoza, Argentina","Buenos Aires, Argentina","Journalist, Theatre Critic, Music Critic, Art Critic, Editor, Prologuist, Translator, Librarian"
John Middleton Murry,1889-08-06,1957-03-12,,Male,15229,"Peckham, London, United Kingdom","Bury St Edmunds, United Kingdom","Writer, Essayist, Critic, Editor"
Walter Mehring,1896-04-29,1981-10-06,,Male,27068501,"Berlin, Germany","Zürich, Switzerland",Author
Américo Castro,1885-05-04,1975-07-25,,Male,41855030,"Cantagalo, Rio de Janeiro, Brazil","Lloret de Mar, Spain","Historian, Philologist, Literary Critic"
Robert Weibel-Richard,1904-08-07,1984-03-05,Cultural Attaché at the French Embassy,Male,202071715,,,"Cultural Attaché, Critic"
Jorge Pinto,,,,,,,,Writer
Wilhelm Backhaus,1884-03-26,1969-07-05,,Male,64190901,"Leipzig, Germany","Villach, Austria","Pianist, Pedagogue"
Maurice Ravel,1875-03-07,1937-12-28,,Male,2657495,"Ciboure, France","Paris, France","Composer, Pianist, Conductor"
Antonio Castro Leal,1896-03-02,1981-01-07,,Male,56622388,"San Luis Potosí, Mexico","Coyoacán, Mexico","Diplomat, Intellectual"
Juan Guixé,1886-10-06,1942-11-22,,Male,15147001,"Lérida, Spain","Santiago de Chile, Chile","Journalist, Writer"
Adan C. Diehl,1905-03-02,1905-05-06,,Male,,"Buenos Aires, Argentina","Buenos Aires, Argentina","Poet, Critic"
Roger Hinks,1905-03-17,1905-05-16,Keeper of Greek and Roman Antiquities (British Museum),Male,55071235,"London, United Kingdom","Paris, France","Art Historian, Curator"
Paul Claudel,1868-08-06,1955-02-23,,Male,100163516,"Villeneuve-sur-Fère, France","Paris, France","Poet, Dramatist, Diplomat"
D. Wells Gill (¿?),,,,,,,,Writer
Luis de Elizalde (h.),,,,,,,,Writer
Evelyn Waugh,1903-10-28,1966-04-10,,Male,68937142,"West Hampstead, London, United Kingdom","Combe Florey, United Kingdom","Writer, Novelist, Biographer, Journalist, Reviewer"
